question                                                                                                                                                                                                   , expected_sql                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , base_sql                                                                                                 , ft_sql                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , base_semantic, ft_semantic, base_exec, ft_exec
CA 2024 ?                                                                                                                                                                                                  , INCOMPLETE_SCHEMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , INCOMPLETE_SCHEMA                                                                                        , INCOMPLETE_SCHEMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,           0.0,         0.0, False    , False
Quel est le prix de vente moyen des maillots de bain ?                                                                                                                                                     , SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND tc.ANNULATION = False                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , INCOMPLETE_SCHEMA                                                                                        , SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND tc.ANNULATION = False;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,           0.0,         0.0, False    , True
Age moyen clients ?                                                                                                                                                                                        , "SELECT AVG(CAST(SUBSTR(CAST(CURRENT_DATE() as STRING),1,4) as BIGNUMERIC)-CAST(DATE_NAISS_A as BIGNUMERIC)) AS age_moyen FROM avisia-self-service-analytics.reine_des_maracas.individu"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "SELECT AVG(CAST(SUBSTR(CAST(CURRENT_DATE() as STRING),1,4) as BIGNUMERIC)-CAST(i.DATE_NAISS_A as BIGNUMERIC)) AS age_moyen FROM `avisia-self-service-analytics.reine_des_maracas.individu` AS i"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,           0.0,         0.0, False    , True
Quelles sont les 5 familles de produits les plus vendues en termes de chiffre d'affaires ?                                                                                                                 , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS total_ca FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = FALSE GROUP BY tp.FAMILLE ORDER BY total_ca DESC LIMIT 5;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA DESC LIMIT 5;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
Quel est le prix de vente moyen des Slips ?                                                                                                                                                                , SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Slip'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Slips' AND tc.ANNULATION = False;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,           0.0,         0.0, False    , True
Nombre de clients à Paris?                                                                                                                                                                                 , SELECT COUNT(DISTINCT tc.ID_INDIVIDU) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc INNER JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.REGIONS = 'Paris'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , INCOMPLETE_SCHEMA                                                                                        , SELECT COUNT(DISTINCT tc.ID_INDIVIDU) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%PARIS%'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,           0.0,         0.0, False    , True
Peux-tu me dire sur ces clients le montant moyen qu'ils dépensent ?                                                                                                                                        , SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS depense_moyenne FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc WHERE tc.ANNULATION = FALSE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , INCOMPLETE_SCHEMA                                                                                        , SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS depense_moyenne FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc WHERE tc.ANNULATION = False                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,           0.0,         0.0, False    , True
Les magasins de centre-ville à Paris performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?                                                  , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.VILLE = 'Paris' AND m.CENTRE_VILLE = 'Oui' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                   ,           0.0,         0.0, False    , True
Les magasins de centre-ville à Paris performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?                                                  , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.VILLE = 'Paris' AND m.CENTRE_VILLE = 'Oui' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                   ,           0.0,         0.0, False    , True
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins?                                                    , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?                                                   , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?                                                   , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
"Les magasins succursale en province performent bien, quelle est la répartition par âge des clients qui achètent des maillots de bains dans ces magasins?"                                                 , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins?                                                    , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , INCOMPLETE_SCHEMA                                                                                        , "SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;"                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
