question,expected_sql,scope,base_sql,ft_sql,base_safe,ft_safe,base_exec,ft_exec,base_semantic,ft_semantic
Compare le chiffre d'affaires des magasins de centre-ville et des magasins de périphérie.,"SELECT m.CENTRE_VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc LEFT JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE NOT m.CENTRE_VILLE IS NULL GROUP BY m.CENTRE_VILLE",in_scope,INCOMPLETE_SCHEMA,"SELECT m.CENTRE_VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.CENTRE_VILLE",False,True,False,True,1,2
Y a-t-il une tendance saisonnière dans les ventes de maillots de bain ?,"WITH VentesMaillotsParMois AS ( SELECT CAST(SUBSTR(tc.DATE_TICKET, 4, 2) AS INT64) AS mois, SUM(tc.QUANTITE) AS total_ventes FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.LIGNE = 'Bain' GROUP BY mois ) SELECT mois, total_ventes, AVG(total_ventes) OVER (ORDER BY mois ASC ROWS BETWEEN 2 PRECEDING AND 2 FOLLOWING) AS moyenne_mobile FROM VentesMaillotsParMois ORDER BY mois;",out_of_scope,INCOMPLETE_SCHEMA,"WITH VentesMaillotsParMois AS ( SELECT PARSE_DATE('%d/%m/%Y', tc.DATE_TICKET) AS DATE_TICKET, SUM(tc.QUANTITE) AS total_ventes FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' GROUP BY DATE_TICKET ), VentesMaillotsParMois2019 AS ( SELECT FORMAT_DATE('%m', DATE_TICKET) AS mois, SUM(total_ventes) AS total_ventes_2019 FROM VentesMaillotsParMois WHERE FORMAT_DATE('%Y', DATE_TICKET) = '2019' GROUP BY mois ), VentesMaillotsParMois2020 AS ( SELECT FORMAT_DATE('%m', DATE_TICKET) AS mois, SUM(total_ventes) AS total_ventes_2020 FROM VentesMaillotsParMois WHERE FORMAT_DATE('%Y', DATE_TICKET) = '2020' GROUP BY mois ), VentesMaillotsParMois2021 AS ( SELECT FORMAT_DATE('%m', DATE_TICKET) AS mois, SUM(total_ventes) AS total_ventes_2021 FROM VentesMaillotsParMois WHERE FORMAT_DATE('%Y', DATE_TICKET) = '2021' GROUP BY mois ), VentesMaillotsParMois2022 AS ( SELECT FORMAT_DATE('%m', DATE_TICKET) AS mois, SUM(total_ventes) AS total_ventes_2022 FROM VentesMaillotsParMois WHERE FORMAT_DATE('%Y', DATE_TICKET) = '2022' GROUP BY mois ) SELECT vm19.mois, vm19.total_ventes_2019, vm20.total_ventes_2020, vm21.total_ventes_2021, vm22.total_ventes_2022 FROM VentesMaillotsParMois2019 AS vm19 JOIN VentesMaillotsParMois2020 AS vm20 ON vm19.mois = vm20.mois JOIN VentesMaillotsParMois2021 AS vm21 ON vm19.mois = vm21.mois JOIN VentesMaillotsParMois2022 AS vm22 ON vm19.mois = vm22.mois ORDER BY vm19.mois;",False,True,False,True,1,2
Quelle est la contribution au chiffre d'affaire des 10% des meilleurs clients?,"WITH ClientCA AS ( SELECT tc.ID_INDIVIDU, AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_transaction FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc WHERE tc.ANNULATION = FALSE GROUP BY tc.ID_INDIVIDU ), Top10PercentClients AS ( SELECT ID_INDIVIDU, CA_moyen_transaction, PERCENT_RANK() OVER (ORDER BY CA_moyen_transaction DESC) AS percentile FROM ClientCA ) SELECT SUM(CASE WHEN percentile <= 0.1 THEN 1 ELSE 0 END) AS nombre_clients_top_10, SUM(CASE WHEN percentile <= 0.1 THEN CA_moyen_transaction ELSE 0 END) AS CA_total_top_10, SUM(CA_moyen_transaction) AS CA_total, ROUND(SUM(CASE WHEN percentile <= 0.1 THEN CA_moyen_transaction ELSE 0 END) * 100.0 / SUM(CA_moyen_transaction),2) AS pourcentage_CA_top_10 FROM Top10PercentClients;",in_scope,INCOMPLETE_SCHEMA,"WITH ClientCA AS ( SELECT tc.ID_INDIVIDU, AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_transaction FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc WHERE tc.ANNULATION = False GROUP BY tc.ID_INDIVIDU ), Top10PercentClients AS ( SELECT ID_INDIVIDU, CA_moyen_transaction, PERCENT_RANK() OVER (ORDER BY CA_moyen_transaction DESC) AS percentile FROM ClientCA ) SELECT SUM(CASE WHEN percentile <= 0.1 THEN 1 ELSE 0 END) AS nombre_clients_top_10, SUM(CASE WHEN percentile <= 0.1 THEN CA_moyen_transaction ELSE 0 END) AS CA_total_top_10, SUM(CA_moyen_transaction) AS CA_total, ROUND(SUM(CASE WHEN percentile <= 0.1 THEN CA_moyen_transaction ELSE 0 END) * 100.0 / SUM(CA_moyen_transaction), 2) AS pourcentage_CA_top_10 FROM Top10PercentClients;",False,True,False,True,1,2
Quel est le chiffre d'affaires moyen par transaction ?,SELECT AVG(PRIX_AP_REMISE * QUANTITE) AS ca_moyen FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False,in_scope,INCOMPLETE_SCHEMA,SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_moyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc WHERE tc.ANNULATION = False,False,True,False,True,0,1
Quel magasin a généré le plus de chiffre d'affaires en 2023 ?,"SELECT m.VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.VILLE ORDER BY ca_total DESC LIMIT 1;",in_scope,INCOMPLETE_SCHEMA,"SELECT m.VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.VILLE ORDER BY ca_total DESC LIMIT 1;",False,True,False,True,1,1
Quelle région a la plus forte croissance de chiffre d'affaires entre 2022 et 2023 ?,"WITH CA_2022 AS ( SELECT m.REGIONS, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as ca_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2022' AND tc.ANNULATION = False GROUP BY m.REGIONS ), CA_2023 AS ( SELECT m.REGIONS, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as ca_2023 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.REGIONS ) SELECT ca23.REGIONS, ca23.ca_2023, ca22.ca_2022, ROUND((ca23.ca_2023 - ca22.ca_2022) * 100.0 / ca22.ca_2022, 2) as taux_croissance FROM CA_2023 ca23 JOIN CA_2022 ca22 ON ca23.REGIONS = ca22.REGIONS ORDER BY taux_croissance DESC LIMIT 1;",in_scope,INCOMPLETE_SCHEMA,"WITH CA_2022 AS ( SELECT m.REGIONS, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_2022 FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2022' AND tc.ANNULATION = False GROUP BY m.REGIONS ), CA_2023 AS ( SELECT m.REGIONS, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_2023 FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.REGIONS ) SELECT ca23.REGIONS, ca23.ca_2023, ca22.ca_2022, ROUND((ca23.ca_2023 - ca22.ca_2022) * 100.0 / ca22.ca_2022, 2) AS taux_croissance FROM CA_2023 AS ca23 JOIN CA_2022 AS ca22 ON ca23.REGIONS = ca22.REGIONS ORDER BY taux_croissance DESC LIMIT 1;",False,True,False,True,1,1
Quel est le manager avec le plus de consultant?,INCOMPLETE_SCHEMA,in_scope,INCOMPLETE_SCHEMA,INCOMPLETE_SCHEMA,False,False,False,False,1,1
Quel est le chiffre d'affaires journalier moyen en juillet 2020 ?,INCOMPLETE_SCHEMA,in_scope,INCOMPLETE_SCHEMA,"SELECT AVG(ca_par_jour) AS ca_journalier_moyen_juillet_2020 FROM ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS DATE_TICKET, SUM(PRIX_AP_REMISE * QUANTITE) AS ca_par_jour FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE PARSE_DATE('%d/%m/%Y', DATE_TICKET) BETWEEN '2020-07-01' AND '2020-07-31' GROUP BY DATE_TICKET ) AS ca_journalier",False,True,False,True,2,1
Quel est le chiffre d'affaires journalier moyen en juillet 2023 ?,"SELECT AVG(ca_par_jour) AS ca_journalier_moyen_juillet_2023 FROM ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS DATE_TICKET, SUM(PRIX_AP_REMISE * QUANTITE) AS ca_par_jour FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE DATE_TRUNC(PARSE_DATE('%d/%m/%Y', DATE_TICKET), MONTH) = '2023-07-01' GROUP BY DATE_TICKET ) AS ca_journalier",in_scope,INCOMPLETE_SCHEMA,"SELECT AVG(ca_par_jour) AS ca_journalier_moyen_juillet_2023 FROM ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS DATE_TICKET , SUM(PRIX_AP_REMISE * QUANTITE) AS ca_par_jour FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE DATE_TRUNC(PARSE_DATE('%d/%m/%Y', DATE_TICKET), MONTH) = '2023-07-01' GROUP BY DATE_TICKET ) AS ca_journalier",False,True,False,True,1,2
Quel est le chiffre d'affaires généré par les Maillots de bain 1 pièce en 2023 ?,INCOMPLETE_SCHEMA,in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_maillots_2023 FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND tp.LIGNE = 'Maillots 1 pièce' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,2
CA 2024 ?,INCOMPLETE_SCHEMA,out_of_scope,INCOMPLETE_SCHEMA,INCOMPLETE_SCHEMA,False,False,False,False,1,1
Quel est le prix de vente moyen des maillots de bain ?,SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND tc.ANNULATION = False,out_of_scope,INCOMPLETE_SCHEMA,SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS prix_moyen FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND tc.ANNULATION = False;,False,True,False,True,2,1
Age moyen clients ?,"SELECT AVG(CAST(SUBSTR(CAST(CURRENT_DATE() as STRING),1,4) as BIGNUMERIC)-CAST(DATE_NAISS_A as BIGNUMERIC)) AS age_moyen FROM avisia-self-service-analytics.reine_des_maracas.individu",in_scope,INCOMPLETE_SCHEMA,"SELECT AVG(CAST(SUBSTR(CAST(CURRENT_DATE() as STRING),1,4) as BIGNUMERIC)-CAST(i.DATE_NAISS_A as BIGNUMERIC)) as age_moyen FROM `avisia-self-service-analytics.reine_des_maracas.individu` as i",False,True,False,True,1,1
Quelles sont les 5 familles de produits les plus vendues en termes de chiffre d'affaires ?,"SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS total_ca FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = FALSE GROUP BY tp.FAMILLE ORDER BY total_ca DESC LIMIT 5;",in_scope,INCOMPLETE_SCHEMA,"SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA DESC LIMIT 5;",False,True,False,True,1,1
Quel est le prix de vente moyen des Slips ?,SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Slip',in_scope,INCOMPLETE_SCHEMA,SELECT AVG(tc.PRIX_AP_REMISE) AS prix_moyen FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Slips' AND tc.ANNULATION = False;,False,True,False,True,0,1
Nombre de clients à Paris?,SELECT COUNT(DISTINCT tc.ID_INDIVIDU) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc INNER JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.REGIONS = 'Paris',in_scope,INCOMPLETE_SCHEMA,SELECT COUNT(DISTINCT tc.ID_INDIVIDU) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%PARIS%',False,True,False,True,0,1
Peux-tu me dire sur ces clients le montant moyen qu'ils dépensent ?,SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS depense_moyenne FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc WHERE tc.ANNULATION = FALSE,in_scope,INCOMPLETE_SCHEMA,SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS depense_moyenne FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc WHERE tc.ANNULATION = False,False,True,False,True,1,2
Les magasins de centre-ville à Paris performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",in_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.VILLE = 'Paris' AND m.CENTRE_VILLE = 'Oui' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,0,2
